Experiment,I2,LiI,BMII,TBP,GuSCN,PCE_predicted(%),Improvement(%)
1,0.05,0.21317528360042032,0.6578391290708536,0.8445757912337923,0.25489912435705164,23.665755952696838,1.671755952696838
2,0.05,0.27344038709075175,0.688363306830514,0.9832082787997843,0.2793854450350314,23.598314215814774,1.6043142158147745
3,0.05,0.18327740003947832,0.5844118448490853,0.9560191950574948,0.3198019456678873,23.57126610829916,1.5772661082991597
4,0.05,0.28529986653814277,0.5436774764166268,1.0568958422042374,0.2519745311620337,23.413099049758713,1.4190990497587137
5,0.05,0.19853497899771522,0.6223895121222865,1.0918880171661192,0.3067717017561829,23.37225955326165,1.3782595532616497
6,0.05,0.20989881209642572,0.5239752825453458,1.1344476582194136,0.20190783056412775,23.2897848453778,1.2957848453777991
7,0.05,0.32917963002183565,0.5861884076490215,0.8801501240525789,0.2965633814149371,23.201102761294425,1.2071027612944256
8,0.05,0.09877730808407299,0.7024359751924161,0.9786251691869143,0.2825924808529424,23.02801014375253,1.034010143752532
9,0.05,0.25024896560502974,0.5549624979469514,0.6582557730032155,0.29479395014658644,23.014823599040948,1.0208235990409484
10,0.05,0.29226091816910105,0.5473940559944819,1.1464085823024688,0.13510323402754754,22.902459338405812,0.9084593384058124
11,0.05,0.25238829450526284,0.6918525806526449,0.8768805180982885,0.404838619386139,22.898190344027075,0.9041903440270751
12,0.05,0.257926462414412,0.5281360569688862,1.2524226267765433,0.1321471155288568,22.836432342735588,0.842432342735588
13,0.05,0.2535284250401422,0.9145632612138344,1.1513409990957977,0.25263261208189164,22.80620879453377,0.8122087945337704
14,0.05,0.21206417994686844,0.47370422402927376,1.0700355100468555,0.32198032383549446,22.790210218770568,0.7962102187705682
15,0.05,0.3216485771980759,0.5229970933946715,1.154959913467484,0.28568340885738036,22.752164513587903,0.7581645135879036
16,0.05,0.20594911345092037,0.5892125141696481,1.1890058870211457,0.10334570737047787,22.734067898895884,0.7400678988958838
17,0.05,0.18953853666886553,0.7745364275351913,1.0170801420386877,0.3942849594183417,22.689727869071582,0.6957278690715825
18,0.05,0.29806104044285975,0.564663309930298,1.3247467763368304,0.13511769883587355,22.627959328728394,0.6339593287283947
19,0.05,0.28465337767036164,0.43463275719125366,1.118333700853752,0.19728608385379295,22.61913656174464,0.6251365617446396
20,0.05,0.29118478301722384,0.5935359614356828,1.0398718426523001,0.39667479216463897,22.617336511269464,0.6233365112694642
21,0.05,0.20668618579443743,0.5896530742657481,1.300869891929156,0.10966736844824604,22.561716478248094,0.5677164782480943
22,0.05,0.23307526324182515,1.1524450627385623,1.2246003378499426,0.32404645100640816,22.469896620331017,0.4758966203310173
23,0.05,0.24752462400423828,0.43390934035659573,0.777995900787754,0.19688058409352435,22.367335241733944,0.37333524173394395
24,0.05,0.29546774089849837,0.5875909386570813,1.2548367433016239,0.07121852563792623,22.31814522823789,0.3241452282378887
25,0.05,0.36016037843654647,0.7045081968233059,0.7620160716406315,0.27098914262042273,22.28912590702425,0.29512590702425
26,0.05,0.3723684006220418,0.5122573596312424,1.2241842338132678,0.1362366385395445,22.11546036890407,0.12146036890407075
27,0.0,0.10988153575456706,1.4646323979001383,0.4927808380228913,0.0,22.01119471720474,0.01719471720474175
28,0.05,0.2510991043470088,0.4943966284546783,1.1730861253649372,0.05481070916818532,22.000305575306108,0.006305575306107869
