Experiment,I2,LiI,BMII,TBP,GuSCN,Jsc_predicted(uAcm-2),Improvement(uAcm-2)
1,0.05,0.1788158276127455,1.4115858947846425,1.5086526666315363,0.3713459422511921,83.67054821466084,18.90492321466084
2,0.05,0.29749817427089986,1.5,1.4293535325882234,0.44458196391581023,82.31077605498714,17.545151054987144
3,0.05,0.260794553572965,1.3062038620876821,1.4981278936596074,0.3689912046787142,82.21632988879242,17.450704888792416
4,0.05,0.2658086946953119,1.5,1.6098672993438332,0.34039009342009574,81.99435743574875,17.228732435748753
5,0.05,0.14022915783122022,1.5,1.3594906886869083,0.4453432516191669,80.175786481253,15.410161481252999
6,0.05,0.23677317975333434,1.3757124554217375,1.3849653605288468,0.5,79.29203589352989,14.526410893529885
7,0.05,0.3256934190266774,1.5,1.2864292622582052,0.4544286896654184,78.74236567235465,13.976740672354651
8,0.05,0.16972446075372363,1.5,1.5467129895123768,0.5,78.41558568210536,13.649960682105359
9,0.05,0.31498764183897715,1.3714239229801979,1.6036168812675604,0.463179338293891,77.52017059987126,12.754545599871264
10,0.05,0.3413022632261321,1.3799597828130046,1.6435796077808191,0.2716287934565491,77.38563265926605,12.62000765926605
11,0.05,0.15085134148701043,1.3561807871128462,1.661523624832235,0.350632187497122,76.00669314558655,11.241068145586553
12,0.05,0.38879403083806324,0.5546048878309168,1.238656601140181,0.18554035620138268,75.98384825779387,11.218223257793866
13,0.05,0.3905852055146194,0.5985221244734507,1.323331944526073,0.19570695075558206,75.75286919875228,10.987244198752279
14,0.05,0.33637835280486383,0.5370972915812493,1.099436542548631,0.17335832747000393,75.6591360701344,10.893511070134394
15,0.05,0.31731182157290033,0.5710329716036656,1.0051097181115731,0.30806160049481535,75.63563060867475,10.870005608674745
16,0.05,0.31459903919678756,0.5656257513715738,1.316154861360919,0.13269094259873773,75.42530318832955,10.65967818832955
17,0.05,0.3562727745770366,0.7226660904794141,0.9338715233639334,0.2851280887580973,74.99845214786686,10.232827147866857
18,0.05,0.327905694186941,0.5350122370999981,1.2961275516152906,0.24312749351073235,74.92877096495313,10.16314596495313
19,0.05,0.3970708714629688,0.4891551673246096,1.3187033932945371,0.15300415738878786,74.73213370262081,9.966508702620814
20,0.05,0.400896065099666,0.613326545120551,1.266621294735159,0.09109177213397171,74.72689678239733,9.961271782397333
21,0.05,0.34324276533511994,0.5610838427427768,0.89494593362977,0.21703348472090403,74.62262132135396,9.85699632135396
22,0.05,0.300627628726992,0.4558468589682587,1.2226694528773567,0.1937396086290895,74.47456791581368,9.70894291581368
23,0.05,0.3344004463015601,0.5157652309136932,1.205921358503878,0.09129344772362959,74.46753187216852,9.701906872168522
24,0.05,0.27485586033911885,0.6174170804328988,0.849896872333073,0.3688002061884556,74.38083727866749,9.615212278667485
25,0.05,0.40889040689568396,0.462376679340574,1.0133805404945215,0.24819418060460488,73.82187969684777,9.056254696847773
26,0.05,0.4431399859426087,0.488499504204123,1.3025206919158594,0.22918592436862695,73.68348217096758,8.91785717096758
27,0.05,0.34504180637498993,0.6460976599092839,1.1149471816198628,0.08699862143300083,73.6716517196981,8.906026719698104
28,0.05,0.4467552219082919,1.5,1.423561649111973,0.47539547034730134,73.6319661827026,8.866341182702598
29,0.04416995888488017,0.35995180760670514,0.7267698270998837,0.9153807940827552,0.29318574267239533,73.59220757222252,8.82658257222252
30,0.05,0.4221132030872504,0.44813694777096313,1.1615508654711084,0.1583435075128392,73.58379898555862,8.818173985558616
31,0.05,0.3199005873284396,0.8677140217657191,1.0834383875022873,0.3689031626100316,73.56438749837895,8.798762498378949
32,0.05,0.4377897947010343,0.6070697600247017,1.0262789602382008,0.17830589935446298,73.50636489083891,8.74073989083891
33,0.05,0.30017581583050007,0.4530190328491298,0.9102187767043708,0.34951356819352547,73.49525482806644,8.729629828066436
34,0.05,0.4354589529737876,0.5720993318796792,0.908572769634139,0.3476870885578323,73.17709054738307,8.411465547383074
35,0.05,0.47703295638585463,0.4875359598838378,1.3042803313533815,0.13823368015494275,72.85222177836894,8.086596778368943
36,0.05,0.3535174255537979,0.4173916125579108,1.136919016100298,0.3149758325118969,72.815469144215,8.049844144215001
37,0.0,0.21220111856684654,1.5,1.482225836500875,0.36738435565348004,72.72221635297404,7.956591352974044
38,0.05,0.2108108799266281,0.7057199801541514,0.987139924573075,0.3619959446328026,72.59395509448882,7.82833009448882
39,0.05,0.42943694186660636,0.408332005635395,1.3141297639161413,0.16240032652602018,72.46599469449703,7.700369694497027
40,0.05,0.4404878360107633,0.4407304752828441,1.3893160746562097,0.1657242641515634,72.21489532214171,7.4492703221417145
41,0.05,0.41392328120283756,0.42365701677096446,1.3767020117473108,0.09338079148339892,71.97064384088686,7.205018840886865
42,0.05,0.47147730275308763,0.5556516357909407,1.1596510367814397,0.08001400536791824,71.52905206005168,6.763427060051683
43,0.05,0.361962932220399,0.7553206716845543,0.9319317887964091,0.4522678578726121,71.47792886506042,6.71230386506042
44,0.03438094717156137,0.28187044974965914,0.6214354150609669,1.2467310891757148,0.18550066338936005,71.43009825762569,6.664473257625687
45,0.05,0.1528471371217917,1.3080083603928025,0.49263285168457654,0.0,71.30388639032947,6.538261390329467
46,0.05,0.14545576173499272,1.5,1.145558939946224,0.5,71.12694576893719,6.3613207689371905
47,0.05,0.3722440404916779,0.41133380178638246,1.4133596658292689,0.0704064993168713,71.04482057665116,6.279195576651162
48,0.04034491679234135,0.3693751645796334,0.4429503887185411,1.4066696670669006,0.11566125299052259,70.94704796229938,6.181422962299379
49,0.05,0.4269836283892374,0.4223588862514718,1.4394627948046814,0.10350776854714801,70.86148234586084,6.095857345860836
50,0.05,0.3666579822690454,0.50953249731885,1.0375265910234077,0.05804776037432719,70.83131719441604,6.0656921944160445
51,0.04204996518386118,0.11626139750716943,1.4757466503460344,0.51111802518369,0.014465338458528479,70.72973427311905,5.96410927311905
52,0.05,0.4118999104456622,0.3731409732694137,1.4010825775002234,0.13554541905325357,70.4895080017961,5.723883001796096
53,0.05,0.2993773182605416,0.3118145899371407,1.0270040528537232,0.21697880504890635,70.25762829382481,5.4920032938248085
54,0.05,0.5,0.8284053375523001,1.02472350779043,0.2709310491530639,70.22037682548259,5.454751825482589
55,0.03518621673176327,0.35921054620153936,0.457287305075658,1.380639134407993,0.07349181916508812,70.08197832568581,5.31635332568581
56,0.05,0.31157329071484224,0.5575755565876834,0.9611926916965252,0.4908386254263267,70.07580919879214,5.310184198792143
57,0.036139755112534366,0.3479348741546248,0.4651889475615714,1.4219365488861428,0.07393434123418574,69.69026836976151,4.924643369761512
58,0.05,0.295139565487379,1.5,1.799401453924821,0.41773546425548674,69.66295960457701,4.897334604577011
59,0.05,0.4959268835141336,0.39806243802417873,1.384836064048654,0.13008583541764152,69.56089999929354,4.7952749992935395
60,0.05,0.17619842528035115,0.47442959480885627,1.063600210987574,0.36073377552928,69.47025054251328,4.704625542513284
61,0.05,0.035568564082208,1.340922688979422,1.4670127039436422,0.48519530701385,69.11932116133792,4.353696161337922
62,0.001268625111025973,0.30193983529085483,1.3946383819792156,1.4265345922869164,0.22167454723562796,68.71413583365955,3.9485108336595545
63,0.05,0.42776786496175534,0.9959061064127476,0.9933093798610954,0.4503924814962968,68.32134296698578,3.5557179669857817
64,0.04072478123209265,0.4234817095777074,0.39556899957070046,0.7163523242417829,0.4239199909022161,67.81780144235333,3.0521764423533284
65,0.05,0.5,1.5,1.6424227296117224,0.32606501313117214,67.43219984224476,2.6665748422447564
66,0.05,0.46386964718562607,0.8083852565849015,1.1281879786345634,0.5,67.37897902570742,2.613354025707423
67,0.0,0.40147576786887834,0.675159857813899,0.7757648110651919,0.28465455946960927,66.6593549915448,1.8937299915448023
68,0.018257410068484175,0.3922474720713077,0.4756393396879306,1.4078901357663585,0.0671819917143227,66.655787968273,1.8901629682730032
69,0.009789455806195387,0.13521286857846715,1.4943269051858339,0.5150075118608383,0.014337779054612693,66.29296934016531,1.527344340165314
70,0.05,0.18903265473702796,0.9028103497160498,1.044720550298794,0.5,66.19996261988501,1.4343376198850137
71,0.0,0.42813106046258814,0.37595494928348266,0.8249965946978718,0.18379528966021366,65.83726604001751,1.0716410400175107
72,0.05,0.4734082148911441,0.3022968798907875,0.9827262893553895,0.4096048015085235,65.62777635033824,0.8621513503382374
