Experiment,I2,LiI,BMII,TBP,GuSCN,Voc_predicted(V),Improvement(V)
1,0.0,0.0,0.25373836805221917,1.6064532929433613,0.5,0.8307710745598236,0.1137710745598236
2,0.0,0.0,0.25708884121583675,1.6081535835408913,0.5,0.8307709903375242,0.11377099033752425
3,0.0,0.0,0.25291502697727924,1.6177512696607552,0.5,0.8307709356868838,0.11377093568688379
4,0.0,0.0,0.25783763949700145,1.614534638572211,0.5,0.8307706752815189,0.11377067528151896
5,0.0,0.0,0.25272031440663967,1.6181133492844995,0.5,0.8307698546010327,0.11376985460103273
6,0.0,0.0,0.2587494892648039,1.6122687456915936,0.5,0.8307696490417706,0.11376964904177067
7,0.0,0.0,0.2587900965702014,1.611820072405167,0.5,0.8307695728021045,0.11376957280210453
8,0.0,0.0,0.2539099484192741,1.6056783166588238,0.5,0.8307687011815581,0.11376870118155813
9,0.0,0.0,0.24732937446389544,1.6116304014655143,0.5,0.8307684843448575,0.11376848434485753
10,0.0,0.0,0.2590956311354206,1.612318975386911,0.5,0.8307684287164321,0.11376842871643211
11,0.0,0.0,0.2527715866073864,1.6186301156334173,0.5,0.8307682243445011,0.11376822434450118
12,0.0,0.0,0.25408008690902106,1.605542522855812,0.5,0.8307682087244208,0.11376820872442084
13,0.0,0.0,0.24739533721944282,1.6107556160201948,0.5,0.8307681950139969,0.11376819501399693
14,0.0,0.0,0.25919500036941345,1.6122770852752581,0.5,0.8307680802502126,0.11376808025021268
15,0.0,0.0,0.25270315615760747,1.6186737936893982,0.5,0.8307680727913107,0.11376807279131074
16,0.0,0.0,0.2592208421845396,1.6118162008964716,0.5,0.8307680548494867,0.11376805484948671
17,0.0,0.0,0.2527718371637084,1.6187309472322382,0.5,0.8307678894289063,0.11376788942890637
18,0.0,0.0,0.24719268106183634,1.6110804832505803,0.5,0.8307677039832004,0.11376770398320046
19,0.0,0.0,0.2527217225728823,1.6188005079073973,0.5,0.8307676506366786,0.1137676506366786
20,0.0,0.0,0.25388040841966003,1.6052802528819603,0.5,0.8307673914670195,0.11376739146701953
21,0.0,0.0,0.24701576001082023,1.6115280470038242,0.5,0.8307672930862031,0.11376729308620315
22,0.0,0.0,0.2595142947489473,1.6122428389160843,0.5,0.830766892113358,0.113766892113358
23,0.0,0.0,0.24689039012263142,1.6115314318904101,0.5,0.8307668183060954,0.11376681830609547
24,0.0,0.0,0.2540065292397876,1.6051143850476812,0.5,0.8307667857286045,0.11376678572860455
25,0.0,0.0,0.25269442619710897,1.6191698989762702,0.5,0.8307663643917165,0.1137663643917165
26,0.0,0.0,0.25394814614366557,1.604967183536462,0.5,0.8307662829988649,0.11376628299886493
27,0.0,0.0,0.2526071878908777,1.61919795015814,0.5,0.8307662517369172,0.11376625173691723
28,0.0,0.0,0.24667046911135612,1.6115015584818657,0.5,0.8307659463337549,0.11376594633375492
